Farm_ID,Sector,Species,State,Farm_Age_Years,Farm_Area_Acres,Water_Temperature_C,Water_pH,Dissolved_Oxygen_mg_L,Ammonia_mg_L,Stocking_Density_Animals_Per_Acre,Feed_Quantity_kg_Per_Day,Feed_Quality_Score,Rainfall_mm,Humidity_Percent,Body_Condition_Score,Disease_Type,Disease_Onset,Mortality_Rate_Percent,Feed_Conversion_Ratio,Daily_Feed_Cost,Productivity_Score,Water_Quality_Score,Disease_Risk_Score,Disease_Risk_Level
F0144,Livestock,Buffalo,Karnataka,5,3.2,,,,,11.9,45.4,94.3,78.1,58.7,3.0,Respiratory Infection,1,11.2,2.77,53.09,99.0,,48.7,Medium
F0145,Livestock,Cattle,Telangana,6,23.8,,,,,66.4,4.9,94.2,5.3,63.9,1.8,No Disease,0,0.1,1.91,6.95,100.0,,42.4,Medium
F0146,Aquaculture,Tilapia,Karnataka,4,23.0,27.3,8.25,3.37,0.24,150.1,111.4,77.1,45.6,97.5,2.7,No Disease,0,2.9,1.34,141.13,100.0,85.5,100.0,High
F0147,Aquaculture,Pangasius,Karnataka,6,13.1,30.8,8.12,7.34,0.17,74.8,182.3,73.4,79.7,82.9,4.3,No Disease,1,7.8,1.48,185.5,100.0,85.0,95.6,High
F0148,Aquaculture,Pangasius,Tamil Nadu,3,20.3,26.8,7.78,4.52,0.15,139.8,22.6,72.6,166.3,59.8,3.3,No Disease,0,3.3,1.62,37.54,100.0,95.0,82.4,High
F0149,Aquaculture,Shrimp,Andhra Pradesh,1,3.5,25.3,7.39,8.15,0.5,90.0,101.4,90.6,142.1,68.2,4.3,No Disease,0,2.1,1.05,177.74,100.0,81.8,51.9,Medium
F0150,Livestock,Cattle,Karnataka,7,12.7,,,,,10.8,50.1,70.0,93.9,87.1,4.2,No Disease,0,0.0,1.73,75.42,100.0,,66.4,High
F0151,Aquaculture,Pangasius,Tamil Nadu,6,6.3,30.4,8.26,3.95,0.26,51.7,24.4,62.1,160.4,65.4,2.9,White Spot Disease,1,20.9,1.88,29.19,73.6,84.4,90.8,High
F0152,Aquaculture,Catla,Telangana,1,6.0,28.6,7.82,6.7,0.19,162.0,176.2,72.7,135.6,63.8,2.8,No Disease,0,1.9,1.8,307.73,100.0,97.4,87.8,High
F0153,Aquaculture,Pangasius,Andhra Pradesh,3,4.1,29.9,8.35,5.74,0.52,160.0,174.8,72.5,159.4,64.5,3.8,No Disease,0,3.6,1.6,239.83,100.0,82.8,87.5,High
F0154,Aquaculture,Shrimp,Karnataka,4,16.6,30.6,9.36,4.84,0.49,107.8,23.1,72.6,116.6,55.7,2.7,White Spot Disease,1,4.0,1.78,36.83,100.0,68.6,94.4,High
F0155,Aquaculture,Pangasius,Andhra Pradesh,4,16.2,30.0,6.34,4.45,0.24,142.1,159.9,85.4,67.4,70.9,2.1,No Disease,1,15.0,1.73,267.65,87.7,74.5,90.8,High
F0156,Livestock,Buffalo,West Bengal,3,5.1,,,,,63.0,33.8,57.9,138.0,75.9,3.9,No Disease,0,1.9,1.78,48.48,100.0,,82.6,High
F0157,Aquaculture,Shrimp,Andhra Pradesh,5,6.2,25.1,7.0,4.71,0.17,124.8,119.6,88.3,153.5,78.3,3.9,No Disease,0,0.8,1.72,175.91,100.0,78.8,69.5,High
F0158,Livestock,Sheep,Tamil Nadu,6,6.4,,,,,59.3,45.3,79.0,105.2,52.1,3.0,No Disease,0,3.1,2.6,65.49,100.0,,55.8,Medium
F0159,Aquaculture,Pangasius,West Bengal,7,7.3,27.6,8.45,6.1,0.12,155.3,34.5,88.4,147.9,74.8,4.5,No Disease,0,1.0,1.53,40.5,100.0,90.6,74.3,High
F0160,Livestock,Poultry,West Bengal,6,3.3,,,,,70.9,16.1,79.0,7.0,80.3,2.7,No Disease,0,1.8,2.08,18.91,100.0,,67.0,High
F0161,Aquaculture,Catla,Telangana,1,19.3,29.5,8.32,5.19,0.23,120.0,89.9,68.7,173.0,93.3,4.1,No Disease,0,1.6,1.35,91.03,100.0,87.8,99.9,High
F0162,Aquaculture,Rohu,West Bengal,3,11.6,23.6,7.04,4.53,0.23,129.4,188.6,84.1,24.9,79.9,3.4,No Disease,0,4.1,1.18,284.12,100.0,73.3,76.2,High
F0163,Livestock,Buffalo,Andhra Pradesh,6,7.6,,,,,53.7,48.7,85.7,106.8,47.8,3.0,No Disease,0,3.5,2.0,72.47,100.0,,47.7,Medium
F0164,Livestock,Goat,Karnataka,6,22.8,,,,,61.1,49.0,72.8,36.7,47.2,3.4,No Disease,0,1.3,1.68,64.6,100.0,,62.5,Medium
F0165,Livestock,Sheep,Karnataka,7,22.2,,,,,41.6,25.3,61.6,103.1,59.7,4.3,No Disease,0,0.7,1.96,36.05,100.0,,68.8,High
F0166,Aquaculture,Rohu,Karnataka,4,2.6,29.1,7.63,5.03,0.28,143.2,85.9,89.5,179.5,56.3,4.2,No Disease,0,3.8,1.43,90.19,100.0,93.6,66.3,High
F0167,Livestock,Sheep,West Bengal,4,24.4,,,,,66.3,51.4,95.3,15.3,65.4,2.0,No Disease,0,1.0,1.93,57.43,100.0,,41.3,Medium
F0168,Aquaculture,Shrimp,Telangana,7,8.3,27.8,8.04,6.07,0.17,85.7,88.9,65.0,23.3,66.0,2.9,No Disease,0,2.9,1.35,99.35,100.0,96.3,76.4,High
F0169,Aquaculture,Catla,West Bengal,1,14.8,25.3,7.98,6.71,0.23,82.5,91.7,55.1,31.4,92.6,3.1,No Disease,0,0.5,1.63,118.39,100.0,87.0,100.0,High
F0170,Livestock,Goat,Karnataka,4,17.5,,,,,79.4,40.5,63.6,8.1,51.7,3.3,No Disease,0,0.0,2.5,59.1,100.0,,76.2,High
F0171,Livestock,Sheep,Telangana,6,16.5,,,,,32.1,51.9,72.5,59.1,69.1,3.9,No Disease,0,1.8,1.69,72.95,100.0,,55.5,Medium
F0172,Aquaculture,Catla,West Bengal,7,9.1,25.8,8.28,5.43,0.22,108.7,113.5,93.8,108.7,79.8,3.4,No Disease,0,1.5,1.58,179.74,100.0,85.4,61.2,Medium
F0173,Aquaculture,Catla,Telangana,2,23.8,25.2,8.14,5.61,0.21,75.0,80.5,55.0,156.7,89.1,3.6,No Disease,0,0.0,1.34,86.54,100.0,84.7,99.0,High
F0174,Livestock,Goat,West Bengal,6,5.9,,,,,22.9,54.7,75.1,83.9,85.3,2.2,No Disease,0,2.7,1.91,61.24,100.0,,62.9,Medium
F0175,Livestock,Cattle,Telangana,1,9.1,,,,,43.3,37.7,94.2,91.8,71.6,1.9,No Disease,0,1.2,2.07,38.36,100.0,,37.9,Medium
F0176,Livestock,Sheep,West Bengal,5,14.6,,,,,59.3,8.5,81.2,50.6,54.2,2.8,No Disease,0,1.8,1.89,9.91,100.0,,53.6,Medium
F0177,Aquaculture,Tilapia,West Bengal,3,13.2,30.8,7.39,4.37,0.23,79.6,116.3,67.6,59.8,67.6,2.1,No Disease,0,0.4,1.55,143.81,100.0,83.9,72.3,High
F0178,Aquaculture,Tilapia,Telangana,4,5.8,27.4,8.12,7.14,0.19,116.0,99.8,73.7,143.0,67.0,2.4,No Disease,0,2.5,1.46,174.77,100.0,93.8,75.3,High
F0179,Aquaculture,Rohu,Tamil Nadu,4,21.8,25.3,7.95,5.14,0.33,110.2,76.7,75.3,119.1,87.3,3.9,No Disease,0,2.8,1.58,80.11,100.0,87.4,86.1,High
F0180,Aquaculture,Catla,Telangana,2,4.3,23.7,7.02,4.93,0.35,136.7,82.5,63.2,33.2,69.7,3.1,No Disease,0,2.3,1.76,101.5,100.0,73.4,91.0,High
F0181,Aquaculture,Shrimp,West Bengal,3,24.5,30.3,7.85,6.46,0.16,132.2,234.3,90.3,102.0,83.3,4.2,No Disease,0,1.8,1.47,342.43,100.0,90.2,73.4,High
F0182,Aquaculture,Pangasius,Telangana,5,6.8,28.8,7.69,5.9,0.43,126.4,218.6,64.6,157.2,88.9,3.9,No Disease,0,4.1,1.39,224.16,100.0,94.7,100.0,High
F0183,Livestock,Buffalo,West Bengal,6,20.3,,,,,8.8,5.1,84.8,82.4,57.0,3.5,No Disease,0,1.9,2.11,6.8,100.0,,37.4,Medium
F0184,Aquaculture,Shrimp,Telangana,2,23.5,25.0,7.9,4.76,0.44,167.8,150.1,62.9,25.1,79.8,3.9,No Disease,0,1.2,1.49,200.63,100.0,85.8,100.0,High
F0185,Aquaculture,Tilapia,Telangana,4,20.6,25.1,7.64,5.36,0.26,118.7,184.4,57.9,75.2,60.0,3.5,No Disease,0,1.7,1.34,265.63,100.0,86.5,91.8,High
F0186,Aquaculture,Pangasius,Tamil Nadu,6,8.6,30.3,7.73,5.14,0.33,145.0,142.3,78.1,50.1,64.3,2.7,No Disease,0,2.1,1.18,223.14,100.0,90.0,78.2,High
F0187,Livestock,Goat,Karnataka,2,20.8,,,,,24.7,20.2,91.0,9.0,69.6,2.8,No Disease,0,1.3,1.98,31.24,100.0,,35.2,Medium
F0188,Aquaculture,Pangasius,Andhra Pradesh,1,6.1,28.6,7.61,2.36,0.25,74.9,145.9,66.8,162.3,64.3,4.2,No Disease,0,3.5,1.65,183.76,100.0,78.9,71.9,High
F0189,Aquaculture,Rohu,Andhra Pradesh,4,4.1,27.7,8.09,4.49,0.4,178.6,25.9,81.0,118.7,84.6,2.3,No Disease,0,0.1,1.55,32.27,100.0,95.3,95.3,High
F0190,Livestock,Cattle,Andhra Pradesh,6,21.8,,,,,64.8,44.0,84.7,61.3,87.7,1.9,No Disease,0,2.1,1.87,73.21,100.0,,65.7,High
F0191,Aquaculture,Catla,Karnataka,4,10.9,27.0,7.11,4.51,0.44,74.7,180.5,70.7,101.9,55.3,2.2,No Disease,0,1.2,1.52,254.6,100.0,86.7,68.0,High
F0192,Aquaculture,Rohu,Tamil Nadu,7,10.5,26.5,8.13,5.84,0.18,170.3,41.9,74.4,60.7,92.4,2.2,Parasitic Infection,1,10.0,1.68,56.72,95.8,90.0,100.0,High
F0193,Aquaculture,Catla,West Bengal,4,22.3,28.6,7.21,5.81,0.37,61.5,54.3,66.5,65.0,72.6,3.7,White Spot Disease,1,17.1,1.65,62.7,85.4,90.5,91.0,High
F0194,Aquaculture,Catla,Telangana,6,9.4,26.2,7.62,5.51,0.16,162.5,201.8,61.1,98.2,59.5,2.1,No Disease,0,2.4,0.92,220.73,100.0,90.6,99.5,High
F0195,Aquaculture,Rohu,Karnataka,7,1.4,30.6,7.91,4.92,0.09,126.7,114.6,73.4,59.5,79.3,4.1,No Disease,0,3.4,1.55,165.59,100.0,88.3,85.7,High
F0196,Livestock,Buffalo,Tamil Nadu,5,4.2,,,,,24.0,29.3,76.2,35.1,79.6,3.9,No Disease,0,1.4,1.93,31.21,100.0,,57.5,Medium
F0197,Livestock,Goat,Andhra Pradesh,6,6.2,,,,,55.7,36.5,80.9,122.9,75.5,3.0,No Disease,0,0.4,2.19,52.48,100.0,,57.4,Medium
F0198,Livestock,Poultry,Karnataka,2,11.2,,,,,53.8,14.3,60.2,126.2,51.0,4.5,No Disease,0,2.7,2.12,22.73,100.0,,73.2,High
F0199,Aquaculture,Catla,Karnataka,5,8.0,27.9,8.69,6.37,0.33,95.7,205.4,80.5,29.9,56.1,2.9,No Disease,0,2.4,1.39,347.21,100.0,88.9,63.4,Medium
F0200,Aquaculture,Pangasius,Karnataka,1,21.0,28.3,7.88,6.38,0.47,172.4,88.0,55.0,49.0,64.4,3.7,No Disease,0,3.7,1.23,127.18,100.0,96.1,100.0,High
F0201,Aquaculture,Catla,Andhra Pradesh,7,10.1,26.1,7.94,6.74,0.17,149.2,47.2,55.0,128.2,70.3,2.6,Bacterial Infection,1,12.7,2.3,50.41,92.4,90.7,100.0,High
F0202,Livestock,Poultry,West Bengal,7,8.6,,,,,79.2,15.1,71.8,86.4,52.3,2.0,No Disease,0,1.4,2.24,18.48,100.0,,68.0,High
F0203,Aquaculture,Tilapia,Karnataka,1,7.8,31.0,8.37,4.41,0.2,128.5,49.5,79.9,124.8,85.1,3.9,No Disease,0,3.1,1.71,56.89,100.0,81.2,84.3,High
F0204,Aquaculture,Catla,Tamil Nadu,2,8.1,31.6,7.78,4.46,0.17,117.1,140.4,67.1,53.7,66.9,3.9,No Disease,0,2.0,1.53,147.89,100.0,85.4,82.2,High
F0205,Livestock,Goat,West Bengal,4,5.6,,,,,8.1,30.9,84.6,45.4,61.3,3.5,No Disease,0,0.7,2.34,44.76,100.0,,37.4,Medium
F0206,Aquaculture,Tilapia,Andhra Pradesh,7,20.0,26.3,8.38,5.25,0.37,142.5,232.5,96.9,150.0,68.0,4.4,No Disease,0,0.2,1.65,301.32,100.0,86.2,58.7,Medium
F0207,Livestock,Buffalo,Andhra Pradesh,3,1.0,,,,,48.8,58.2,71.2,11.2,63.0,3.2,No Disease,0,0.0,1.83,74.52,100.0,,61.0,Medium
F0208,Livestock,Goat,West Bengal,2,10.6,,,,,54.5,27.6,82.9,11.1,88.1,4.3,No Disease,0,1.4,1.7,39.23,100.0,,65.2,High
F0209,Livestock,Sheep,Tamil Nadu,3,15.2,,,,,27.3,11.4,84.1,6.9,77.9,3.7,Foot and Mouth Disease,1,3.9,2.19,15.63,100.0,,69.0,High
F0210,Aquaculture,Shrimp,Telangana,2,7.6,24.1,7.4,5.13,0.24,100.6,157.0,58.5,169.1,87.5,3.5,No Disease,0,5.4,1.38,261.08,100.0,79.6,100.0,High
F0211,Aquaculture,Pangasius,Karnataka,7,10.1,29.1,6.53,5.88,0.27,134.1,130.7,89.8,171.1,55.9,4.5,No Disease,1,7.0,1.73,176.69,100.0,80.4,83.7,High
F0212,Aquaculture,Tilapia,Andhra Pradesh,5,10.9,30.1,7.9,3.91,0.19,102.0,31.1,90.3,148.7,80.3,2.9,No Disease,0,2.7,1.65,50.62,100.0,89.5,63.4,Medium
F0213,Aquaculture,Catla,Karnataka,7,21.5,27.4,7.78,4.79,0.25,154.7,209.7,88.9,51.0,91.0,3.4,No Disease,0,0.7,1.6,310.02,100.0,97.4,86.6,High
F0214,Aquaculture,Pangasius,Tamil Nadu,6,11.9,22.1,7.63,5.0,0.28,110.8,34.3,58.1,103.3,79.3,4.2,No Disease,0,5.2,1.56,35.55,100.0,74.4,97.0,High
F0215,Aquaculture,Shrimp,Andhra Pradesh,4,5.2,23.9,7.86,5.52,0.27,60.0,107.9,78.9,13.8,55.2,3.7,No Disease,0,0.0,1.39,109.97,100.0,82.9,56.1,Medium
F0216,Aquaculture,Tilapia,Tamil Nadu,3,8.8,29.3,7.83,5.17,0.14,63.7,31.7,81.6,37.4,80.3,2.3,No Disease,0,5.0,1.27,48.12,100.0,94.4,62.6,Medium
F0217,Livestock,Buffalo,Tamil Nadu,4,20.3,,,,,70.6,50.2,64.7,71.9,66.7,4.4,No Disease,0,0.9,2.4,70.52,100.0,,73.0,High
F0218,Aquaculture,Pangasius,Andhra Pradesh,1,9.5,28.8,8.19,7.17,0.19,126.6,150.8,57.5,113.9,88.1,4.5,Parasitic Infection,1,2.2,2.14,166.19,100.0,92.1,100.0,High
F0219,Livestock,Goat,Tamil Nadu,2,12.4,,,,,55.2,30.1,73.0,64.4,76.5,3.4,No Disease,0,0.1,2.08,45.74,100.0,,66.0,High
F0220,Aquaculture,Catla,Tamil Nadu,1,6.8,25.4,8.41,4.65,0.58,67.4,138.0,60.6,79.3,68.6,4.3,Parasitic Infection,1,7.5,1.62,183.87,100.0,77.8,96.2,High
F0221,Aquaculture,Pangasius,Telangana,5,20.4,26.3,7.64,5.41,0.14,48.5,27.1,85.7,65.1,60.4,2.6,No Disease,0,0.4,1.45,39.85,100.0,91.3,46.4,Medium
F0222,Aquaculture,Rohu,Telangana,6,18.2,24.2,8.22,4.37,0.13,63.0,61.7,89.0,69.3,73.7,3.5,No Disease,0,1.4,1.52,97.39,100.0,79.8,49.7,Medium
F0223,Livestock,Buffalo,Telangana,5,23.4,,,,,26.2,25.2,89.9,2.5,79.4,3.6,No Disease,0,3.8,1.63,36.9,100.0,,44.2,Medium
F0224,Livestock,Buffalo,Andhra Pradesh,4,13.3,,,,,60.2,14.1,60.7,114.9,61.9,2.0,No Disease,1,1.1,2.19,23.1,100.0,,94.4,High
F0225,Livestock,Sheep,West Bengal,2,14.8,,,,,20.7,58.6,82.8,168.2,61.1,3.9,No Disease,0,0.5,1.93,86.15,100.0,,42.4,Medium
F0226,Livestock,Buffalo,Tamil Nadu,7,4.4,,,,,59.5,23.3,61.3,37.2,61.6,3.5,Respiratory Infection,1,8.0,2.58,28.58,100.0,,93.6,High
F0227,Aquaculture,Rohu,Telangana,7,21.5,27.7,8.03,4.7,0.23,108.1,45.1,65.7,57.0,89.8,4.2,No Disease,0,2.6,1.55,50.39,100.0,96.0,97.2,High
F0228,Livestock,Cattle,Tamil Nadu,3,23.7,,,,,9.0,40.8,64.9,43.8,61.2,2.0,Respiratory Infection,1,7.2,2.31,47.53,100.0,,77.4,High
F0229,Aquaculture,Rohu,West Bengal,1,8.4,26.1,7.89,6.47,0.57,129.4,90.6,92.0,172.7,64.4,2.2,No Disease,0,3.6,1.71,119.72,100.0,87.1,60.4,Medium
F0230,Aquaculture,Shrimp,Tamil Nadu,7,21.7,31.2,7.72,5.73,0.4,54.8,212.9,83.9,125.5,70.6,4.2,No Disease,0,3.4,1.41,220.94,100.0,86.2,50.3,Medium
F0231,Livestock,Goat,Telangana,6,12.1,,,,,52.2,52.1,60.7,176.0,75.9,4.5,Mastitis,1,7.1,2.03,58.36,100.0,,97.1,High
F0232,Livestock,Poultry,Telangana,7,19.1,,,,,36.2,5.7,72.1,85.3,68.9,4.1,No Disease,0,1.9,2.22,6.25,100.0,,57.0,Medium
F0233,Livestock,Poultry,Telangana,7,19.1,,,,,54.6,45.3,68.4,152.2,58.8,1.8,No Disease,0,2.2,2.72,54.22,100.0,,65.2,High
F0234,Livestock,Goat,Telangana,7,19.0,,,,,10.1,44.0,94.9,77.5,51.3,3.2,No Disease,0,0.9,2.08,45.1,100.0,,27.6,Low
F0235,Livestock,Cattle,Telangana,2,14.5,,,,,34.4,48.5,69.7,80.0,80.8,3.2,No Disease,0,1.3,2.38,82.07,100.0,,67.5,High
F0236,Livestock,Buffalo,Andhra Pradesh,6,6.8,,,,,45.4,59.5,91.9,17.5,82.4,2.7,No Disease,0,1.0,2.26,93.97,100.0,,49.4,Medium
F0237,Livestock,Goat,Telangana,1,8.6,,,,,37.1,5.6,64.6,65.4,68.2,4.4,No Disease,0,1.0,2.24,8.38,100.0,,64.7,Medium
F0238,Livestock,Cattle,Tamil Nadu,5,12.6,,,,,68.3,55.1,85.9,51.0,62.3,1.9,No Disease,1,11.6,2.41,60.46,90.3,,71.2,High
F0239,Aquaculture,Tilapia,Karnataka,1,4.7,31.9,7.83,4.56,0.15,80.5,106.7,71.9,98.0,61.9,3.7,No Disease,0,4.2,1.45,169.82,100.0,84.0,68.2,High
F0240,Livestock,Poultry,Tamil Nadu,1,17.9,,,,,35.1,48.0,64.5,33.5,95.4,2.4,No Disease,1,9.2,2.72,76.66,97.6,,100.0,High
F0241,Livestock,Buffalo,Andhra Pradesh,1,14.5,,,,,62.3,8.3,97.2,68.7,86.1,2.7,No Disease,0,1.8,2.22,13.0,100.0,,51.3,Medium
F0242,Aquaculture,Catla,Andhra Pradesh,6,12.3,24.5,8.46,5.5,0.14,154.0,107.9,60.7,35.4,65.2,2.7,No Disease,0,0.5,1.7,179.03,100.0,78.1,97.8,High
F0243,Livestock,Buffalo,West Bengal,6,8.2,,,,,18.5,8.4,93.0,61.7,81.2,1.9,No Disease,0,0.1,2.15,10.67,100.0,,40.6,Medium
F0244,Aquaculture,Shrimp,Telangana,4,23.0,29.4,7.58,3.76,0.18,153.7,98.9,59.8,102.7,80.0,3.8,Bacterial Infection,1,8.1,1.76,168.26,95.7,89.4,100.0,High
F0245,Aquaculture,Tilapia,West Bengal,3,9.4,28.5,7.72,7.88,0.26,121.1,32.5,68.5,89.9,64.3,4.2,Bacterial Infection,1,5.1,1.96,48.73,100.0,97.0,100.0,High
F0246,Livestock,Buffalo,West Bengal,6,10.5,,,,,46.5,19.4,73.5,56.2,83.4,4.0,No Disease,0,0.0,2.26,26.8,100.0,,68.8,High
F0247,Aquaculture,Shrimp,Telangana,6,20.3,31.4,6.89,7.46,0.17,107.2,172.2,64.4,20.3,80.6,3.2,Early Mortality Syndrome,1,10.3,1.63,226.72,100.0,75.5,100.0,High
F0248,Aquaculture,Shrimp,Tamil Nadu,6,15.4,28.1,8.27,4.19,0.4,102.5,48.4,63.9,0.2,56.7,4.4,No Disease,0,2.3,1.67,54.33,100.0,94.0,81.7,High
F0249,Aquaculture,Catla,Karnataka,3,21.4,30.0,8.02,3.48,0.17,171.1,138.6,76.4,32.1,59.7,4.1,No Disease,0,2.4,1.21,203.34,100.0,84.2,86.4,High
F0250,Aquaculture,Pangasius,Tamil Nadu,7,23.9,29.3,8.01,4.92,0.12,63.2,182.5,78.0,114.4,63.4,2.5,Early Mortality Syndrome,1,15.0,1.83,279.87,89.2,92.3,77.8,High
F0251,Livestock,Buffalo,Andhra Pradesh,4,15.0,,,,,74.8,32.6,66.1,9.5,83.5,2.1,No Disease,0,0.3,2.09,41.27,100.0,,83.4,High
F0252,Aquaculture,Rohu,Karnataka,5,16.8,28.2,7.86,3.93,0.31,133.3,163.4,80.9,88.2,77.7,2.8,No Disease,0,1.2,1.54,174.51,100.0,97.8,78.6,High
F0253,Livestock,Buffalo,Telangana,6,14.3,,,,,25.8,34.4,69.9,167.9,93.9,3.2,Parasitic Infection,1,6.4,2.31,42.5,100.0,,95.7,High
F0254,Aquaculture,Tilapia,Telangana,2,14.8,27.5,7.57,4.02,0.5,65.1,84.7,74.7,85.6,88.7,3.9,No Disease,0,1.5,1.36,140.8,100.0,92.7,76.5,High
F0255,Aquaculture,Rohu,West Bengal,6,9.8,26.9,8.46,3.3,0.13,140.7,145.9,95.6,45.2,59.3,3.0,No Disease,0,3.9,1.22,186.78,100.0,80.7,59.6,Medium
F0256,Aquaculture,Tilapia,West Bengal,2,14.1,28.5,8.33,3.37,0.27,112.4,215.1,84.5,52.2,63.7,2.7,White Spot Disease,1,5.7,1.76,244.68,100.0,85.3,83.6,High
F0257,Aquaculture,Pangasius,Karnataka,1,10.8,25.3,7.45,4.25,0.26,145.2,228.4,87.0,95.9,92.0,3.7,Early Mortality Syndrome,1,8.1,1.97,234.83,100.0,85.0,100.0,High
F0258,Livestock,Poultry,Andhra Pradesh,4,6.4,,,,,45.3,13.1,85.9,48.9,61.8,4.1,No Disease,0,2.4,1.63,14.52,100.0,,45.4,Medium
F0259,Livestock,Buffalo,Telangana,5,8.2,,,,,75.8,59.7,74.4,45.5,68.5,4.1,No Disease,0,0.9,2.25,60.07,100.0,,64.6,Medium
F0260,Aquaculture,Shrimp,West Bengal,3,5.9,28.2,7.37,4.99,0.38,156.1,50.8,95.2,135.3,95.5,3.7,No Disease,0,0.6,1.23,79.28,100.0,94.0,84.2,High
F0261,Aquaculture,Shrimp,Andhra Pradesh,7,7.6,26.1,7.27,3.77,0.18,68.5,239.5,94.5,8.5,69.6,3.0,Bacterial Infection,1,14.4,1.87,381.45,90.1,83.7,62.6,Medium
F0262,Livestock,Sheep,Tamil Nadu,6,22.2,,,,,41.7,9.7,65.4,52.5,94.0,2.4,Foot and Mouth Disease,1,4.1,2.53,16.18,100.0,,100.0,High
F0263,Aquaculture,Tilapia,Karnataka,2,15.0,32.2,8.3,6.9,0.17,97.5,136.1,55.3,124.5,83.4,2.1,No Disease,0,2.1,0.96,235.17,100.0,77.2,99.8,High
F0264,Aquaculture,Pangasius,West Bengal,4,2.3,27.7,8.35,2.84,0.19,175.3,180.3,58.6,155.3,75.7,2.2,No Disease,0,1.6,1.51,299.51,100.0,80.6,100.0,High
F0265,Aquaculture,Catla,Telangana,2,8.9,25.9,6.98,6.44,0.25,131.1,161.5,62.6,92.4,85.8,4.4,White Spot Disease,1,9.1,1.68,267.51,100.0,81.8,100.0,High
F0266,Livestock,Poultry,Tamil Nadu,4,14.5,,,,,38.8,16.8,70.1,127.0,72.6,2.1,No Disease,0,2.2,1.97,22.18,100.0,,61.7,Medium
F0267,Livestock,Poultry,Karnataka,4,14.1,,,,,62.1,53.8,73.6,96.4,70.3,2.9,No Disease,0,2.2,2.05,90.03,100.0,,62.2,Medium
F0268,Livestock,Cattle,Karnataka,4,3.1,,,,,76.9,10.3,79.9,50.9,59.8,2.9,Respiratory Infection,1,8.0,1.74,12.17,99.2,,79.3,High
F0269,Aquaculture,Pangasius,West Bengal,7,21.8,32.6,7.68,3.74,0.18,88.6,202.7,81.9,168.8,84.2,3.4,No Disease,0,4.9,1.51,324.11,100.0,77.6,71.6,High
F0270,Aquaculture,Rohu,Tamil Nadu,3,9.1,29.1,7.65,4.68,0.21,81.4,40.8,83.7,24.0,91.6,4.0,No Disease,1,9.7,1.77,57.57,100.0,93.8,93.9,High
F0271,Livestock,Sheep,West Bengal,2,21.8,,,,,22.9,15.0,76.7,47.0,45.5,3.6,No Disease,0,2.6,2.05,16.46,100.0,,49.0,Medium
F0272,Livestock,Buffalo,Karnataka,1,22.3,,,,,32.9,7.4,74.7,71.0,91.0,2.5,No Disease,0,0.7,1.69,12.04,100.0,,70.3,High
F0273,Livestock,Buffalo,Karnataka,4,13.3,,,,,44.5,41.9,66.8,132.6,47.7,1.9,No Disease,0,0.0,1.97,47.54,100.0,,64.3,Medium
F0274,Livestock,Buffalo,Telangana,4,17.5,,,,,38.4,35.4,97.3,43.5,81.1,3.7,Parasitic Infection,1,6.9,2.29,53.73,100.0,,61.2,Medium
F0275,Aquaculture,Tilapia,Andhra Pradesh,3,13.2,23.7,7.43,5.38,0.32,56.7,35.9,75.8,39.6,65.9,4.2,No Disease,0,3.4,1.31,56.65,100.0,78.4,58.4,Medium
F0276,Livestock,Poultry,Tamil Nadu,6,17.5,,,,,34.3,58.6,96.1,144.0,57.8,2.0,No Disease,0,2.0,2.1,93.26,100.0,,32.5,Low
F0277,Aquaculture,Shrimp,Telangana,1,10.5,28.4,7.63,5.18,0.24,86.1,179.5,87.9,54.7,89.9,2.7,No Disease,0,3.0,1.24,267.05,100.0,96.4,69.5,High
F0278,Livestock,Poultry,Karnataka,1,2.3,,,,,5.2,17.1,77.3,130.0,54.2,3.3,No Disease,0,0.0,1.89,28.23,100.0,,44.0,Medium
F0279,Aquaculture,Shrimp,West Bengal,7,20.8,23.5,8.04,3.97,0.23,82.6,162.9,68.0,162.0,82.0,3.1,Bacterial Infection,1,6.5,1.96,268.04,100.0,78.8,100.0,High
F0280,Livestock,Poultry,Tamil Nadu,5,16.6,,,,,70.0,31.0,67.8,47.7,67.9,4.5,Respiratory Infection,1,15.8,2.08,45.47,90.2,,89.7,High
F0281,Livestock,Poultry,Telangana,7,14.7,,,,,14.7,45.1,82.7,56.8,77.9,2.4,No Disease,0,2.7,1.9,75.71,100.0,,47.3,Medium
F0282,Livestock,Poultry,Telangana,3,3.2,,,,,69.4,11.9,73.8,83.5,86.8,3.4,No Disease,0,1.0,1.65,14.8,100.0,,77.0,High
F0283,Livestock,Buffalo,Andhra Pradesh,2,12.1,,,,,70.9,31.8,78.2,45.9,85.7,3.8,No Disease,0,1.6,1.83,50.17,100.0,,72.1,High
F0284,Aquaculture,Pangasius,Tamil Nadu,4,18.2,29.7,7.72,5.84,0.22,177.3,172.2,90.1,134.9,85.1,2.8,Early Mortality Syndrome,1,6.8,1.85,173.84,100.0,92.2,100.0,High
F0285,Livestock,Poultry,West Bengal,3,16.1,,,,,38.7,28.6,58.3,120.7,88.5,2.5,No Disease,0,1.2,2.13,39.62,100.0,,86.2,High
